Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Clown Pleco,Panaque maccus,,Plecos,Easy,3.0 inches / 76 mm,3.5 inches / 88 mm,10 - 12 years,6.8 - 7.6,73 - 82 F / 23 - 28 C,1 - 10 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Cobalt Blue Zebra,Metriaclima callainos,,African cichlids,Easy,5.4 inches / 137 mm,6.0 inches / 152 mm,5 - 10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,8 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,Yes,Omnivore,"Flakes, veggies, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Cockatoo Apisto,Apistogramma cacatuoides,Cockatoo Dwarf Cichlid,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,6 years,5.0 - 7.0,72 - 84 F / 22 - 29 C,0 - 12 dGH,Bottom,Semi aggressive,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Live, frozen",Any,Low,Low,High,10 gallons / 37 liters
Colicana Cory,Corydoras incolicana,,Cory,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 years,4.0 - 7.0,68 - 79 F / 20 - 26 C,1 - 5 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Colombian Shark Catfish,Ariopsis seemanni,Silver-tipped Shark,Misc catfish,Moderate,13.0 inches / 330 mm,14.0 inches / 355 mm,10 - 15 years,6.8 - 8.5,71 - 79 F / 22 - 26 C,10 - 30 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Strong,Moderate,75 gallons / 283 liters
Colombian Tetra,Hyphessobrycon columbianus,,Tetras,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,3 - 5 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Comet Goldfish,Carassius auratus,,Goldfish,Easy,12.0 inches / 304 mm,12.0 inches / 304 mm,10 - 15 years,6.0 - 8.0,65 - 72 F / 18 - 22 C,5 - 19 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,20 gallons / 75 liters
Christmas Fulu,Xystichromis phytophagus,,African cichlids,Moderate,4.5 inches / 114 mm,4.5 inches / 114 mm,5 years,7.5 - 8.2,71 - 82 F / 22 - 28 C,5 - 18 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:2,Yes,Omnivore,"Flakes, frozen, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Christyi Cichlid,Aristochromis christyi,"Malawi Hawk,  Aristocratic Hap",African cichlids,Difficult,11.0 inches / 279 mm,11.8 inches / 299 mm,5 - 8 years,7.5 - 9.0,75 - 79 F / 24 - 26 C,7 - 30 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Pellets, live, frozen, veggies",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Chuco Cichlid,Vieja godmanni,Southern Checkmark Cichlid,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,8 - 10 years,7.0 - 7.7,75 - 83 F / 24 - 28 C,10 - 20 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, algae, veggies",Sand,Moderate,Moderate,Low,55 gallons / 208 liters
Cigar Shark,Leptobarbus rubripinna,Red-finned Cigar Shark,Sharks,Moderate,39.0 inches / 990 mm,39.0 inches / 990 mm,8 - 12 years,6.0 - 8.0,68 - 79 F / 20 - 26 C,5 - 15 dGH,Mid,Aggressive,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen, veggies",Any,Moderate,Strong,Any,350 gallons / 1324 liters
Clown Killifish,Pseudepiplatys annulatus,,Killifish,Easy,1.4 inches / 35 mm,1.4 inches / 35 mm,2 - 3 years,4.0 - 7.0,68 - 79 F / 20 - 26 C,1 - 8 dGH,Top,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Clown Knife,Notopterus chilata,,Monster,Moderate,39.0 inches / 990 mm,39.0 inches / 990 mm,8 - 15 years,5.5 - 7.0,75 - 82 F / 24 - 28 C,2 - 10 dGH,Bottom,Semi aggressive,Peaceful,Semi aggressive,1,1:1,Yes,Carnivore,"Pellets, live, frozen",Any,Low,Moderate,Moderate,200 gallons / 757 liters
Clown Lab,Labidochromis chisumulae,,African cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Bottom,Aggressive,Semi aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Pellets, algae, veggies, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Chili Rasbora,Boraras brigittae,Mosquito Rasbora,Rasboras,Easy,0.8 inches / 20 mm,0.8 inches / 20 mm,4 - 8 years,4.0 - 7.0,68 - 82 F / 20 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Low,Low,Moderate,10 gallons / 37 liters
Chinese Algae Eater,Gyrinocheilus aymonieri,,Misc catfish,Moderate,10.0 inches / 254 mm,11.0 inches / 279 mm,5 - 10 years,6.0 - 8.0,77 - 82 F / 25 - 28 C,5 - 19 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Algae, veggies, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Chinese Barb,Puntius semifasciolatus,Green Barb,Barbs,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 7 years,6.0 - 7.0,64 - 75 F / 18 - 24 C,2 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Chipokae Cichlid,Melanochromis chipokae,,African cichlids,Moderate,4.8 inches / 121 mm,4.8 inches / 121 mm,5 years,7.6 - 8.8,73 - 82 F / 23 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Chocolate Cichlid,Hypselecara temporalis,Emerald Cichlid,American cichlids,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,12 years,5.0 - 7.5,77 - 86 F / 25 - 30 C,1 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Low,Moderate,75 gallons / 283 liters
Chocolate Gourami,Sphaerichthys osphromenoides,,Gouramis,Difficult,2.0 inches / 50 mm,2.5 inches / 63 mm,4 years,4.0 - 6.5,77 - 86 F / 25 - 30 C,0 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Chocolate Zebra Pleco L270,Hypancistrus sp. L270,,Plecos,Moderate,4.0 inches / 101 mm,5.0 inches / 127 mm,5 - 8 years,6.0 - 7.0,80 - 86 F / 27 - 30 C,6 - 16 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,High,20 gallons / 75 liters
Channel Catfish,Ictalurus punctatus,,Misc catfish,Moderate,28.0 inches / 711 mm,28.0 inches / 711 mm,25 - 40 years,6.0 - 8.0,50 - 90 F / 10 - 32 C,4 - 30 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,No,Omnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,250 gallons / 946 liters
Checkerboard Cichlid,Dicrossus filamentosa,,American cichlids,Moderate,3.0 inches / 76 mm,4.0 inches / 101 mm,5 years,4.5 - 7.0,81 - 86 F / 27 - 30 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Low,Moderate,High,20 gallons / 75 liters
Checkered Barb,Puntius oligolepis,,Barbs,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,2 - 4 years,5.5 - 7.5,64 - 77 F / 18 - 25 C,2 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Cherry Barb,Puntius titteya,,Barbs,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 - 7 years,6.0 - 8.0,73 - 81 F / 23 - 27 C,2 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Cherry Red Cichlid,Maylandia estherae,"Red Zebra,  Orange Zebra,  Esther Grant’s Zebra",African cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,10 years,7.7 - 8.6,73 - 82 F / 23 - 28 C,6 - 10 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Cherry Shrimp,Neocaridina heteropoda,Yellow Shrimp,Invertebrates,Easy,1.5 inches / 38 mm,2.0 inches / 50 mm,1 - 2 years,6.5 - 8.0,65 - 85 F / 18 - 29 C,1 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, shrimp, algae, veggies",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Cherry Spot Rasbora,Rasbora rubrodorsalis,,Rasboras,Easy,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,6.6 - 7.6,73 - 82 F / 23 - 28 C,2 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Calvus Cichlid,Altolamprologus calvus,"White Pearly Calvus,  Black Calvus,  White Calvus,  White Chaitika, Calvus Cichlid,  Black Calvus,  White Calvus,  White Chaitika",African cichlids,Moderate,5.0 inches / 127 mm,6.0 inches / 152 mm,8 - 10 years,7.5 - 9.0,75 - 81 F / 24 - 27 C,8 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Cardinal Shrimp,Caridina sp. Cardinal,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,7.0 - 8.4,78 - 88 F / 26 - 31 C,3 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Cardinal Tetra,Paracheirodon axelrodi,,Tetras,Moderate,1.0 inches / 25 mm,1.5 inches / 38 mm,5 years,4.5 - 7.5,73 - 81 F / 23 - 27 C,2 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Celebes Halfbeak,Nomorhamphus liemi,,Misc,Difficult,3.0 inches / 76 mm,3.0 inches / 76 mm,5 years,6.8 - 7.5,75 - 79 F / 24 - 26 C,8 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Celebes Rainbowfish,Marosatherina ladigesi,,Rainbowfish,Easy,3.0 inches / 76 mm,3.2 inches / 81 mm,3 - 5 years,7.0 - 8.0,72 - 82 F / 22 - 28 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:2,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,20 gallons / 75 liters
Celestial Pearl Danio,Danio margaritatus,Galaxy Rasbora,Danios,Moderate,0.8 inches / 20 mm,0.8 inches / 20 mm,3 - 5 years,6.5 - 7.5,68 - 79 F / 20 - 26 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Low,Moderate,10 gallons / 37 liters
Ceylon Puffer,Tetraodon fluviatilis,Green Puffer,Puffer,Moderate,6.8 inches / 172 mm,8.0 inches / 203 mm,8 - 15 years,7.8 - 9.0,75 - 82 F / 24 - 28 C,10 - 30 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Low,Moderate,High,29 gallons / 109 liters
Bumblebee Catfish,Microglanis Iheringi,,Misc,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,4 - 5 years,6.5 - 7.5,70 - 77 F / 21 - 25 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Any,Low,Moderate,High,10 gallons / 37 liters
Bumblebee Cory,Corydoras reynoldsi,Reynold’s Cory,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,6.0 - 7.5,78 - 84 F / 26 - 29 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Bumblebee Goby,Brachygobius xanthozona,,Brackish,Moderate,1.2 inches / 30 mm,1.3 inches / 33 mm,3 years,7.0 - 8.5,72 - 84 F / 22 - 29 C,8 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,High,10 gallons / 37 liters
Butterfly Goodeid,Ameca splendens,Butterfly Splitfin,Misc,Easy,3.0 inches / 76 mm,3.5 inches / 88 mm,2 - 3 years,7.0 - 8.0,70 - 78 F / 21 - 26 C,10 - 20 dGH,Mid,Semi aggressive,Peaceful,Aggressive,Any,1:1,Yes,Omnivore,"Flakes, algae",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Butterfly Peacock,Aulonocara jacobfreibergi,"African Butterfly Peacock, Malawi Butterfly Cichlid,  Eureka Cichlid,  Freiberg’s Peacock,  Jake Cichlid,  Mamalela Peacock",African cichlids,Easy,8.0 inches / 203 mm,9.0 inches / 228 mm,8 - 10 years,7.5 - 9.0,77 - 84 F / 25 - 29 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:4,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Butterfly Pleco L168,Dekeyseria brachyura,Flounder Pleco L168,Plecos,Easy,5.6 inches / 142 mm,6.0 inches / 152 mm,5 - 8 years,5.6 - 7.0,77 - 82 F / 25 - 28 C,2 - 12 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Herbivore,"Algae, veggies",Any,Moderate,Moderate,High,29 gallons / 109 liters
Cairns Rainbowfish,Cairnsichthys rhombosomoides,,Rainbowfish,Moderate,2.4 inches / 60 mm,3.3 inches / 83 mm,5 years,4.5 - 8.5,68 - 77 F / 20 - 25 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Gravel,Moderate,Strong,Moderate,20 gallons / 75 liters
Brunei Beauty,Betta macrostoma,,Bettas,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,3 - 5 years,4.0 - 6.0,68 - 77 F / 20 - 25 C,0 - 5 dGH,Mid,Peaceful,Peaceful,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Low,Moderate,10 gallons / 37 liters
Buccochromis rhoadesii,Buccochromis rhoadesii,,African cichlids,Moderate,13.0 inches / 330 mm,13.0 inches / 330 mm,10 - 12 years,7.1 - 8.4,71 - 81 F / 22 - 27 C,9 - 30 dGH,Mid,Aggressive,Peaceful,Aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Bucktooth Tetra,Exodon paradoxus,,Tetras,Moderate,3.0 inches / 76 mm,6.0 inches / 152 mm,6 - 8 years,5.5 - 7.5,73 - 82 F / 23 - 28 C,0 - 20 dGH,Mid,Aggressive,Peaceful,Aggressive,12+,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Buenos Aires Tetra,Hyphessobrycon anisitsi,,Tetras,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,3 - 5 years,5.5 - 8.5,60 - 82 F / 16 - 28 C,1 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Buettikoferi Bichir,Polypterus palmas buettikoferi,Gold Dust Bichir,Bichir,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,8 - 12 years,7.0 - 7.6,76 - 82 F / 24 - 28 C,6 - 16 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,75 gallons / 283 liters
Buffalo Head Cichlid,Steatocranus casuarius,"Lionhead Cichlid,  Blockhead Cichlid",African cichlids,Easy,4.0 inches / 101 mm,4.8 inches / 121 mm,5 - 8 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,2 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Bullseye Snakehead,Channa marulius,,Snakehead,Difficult,25.0 inches / 635 mm,70.0 inches / 1778 mm,8 - 12 years,6.0 - 8.0,50 - 82 F / 10 - 28 C,2 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Low,1000 gallons / 3785 liters
Bumble Bee Cichlid,Pseudotropheus Crabro,Hornet Cichlid,African cichlids,Moderate,4.0 inches / 101 mm,6.0 inches / 152 mm,10 years,7.5 - 8.8,74 - 84 F / 23 - 29 C,12 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Bolivian Ram,Mikrogeophagus altispinosus,,American cichlids,Moderate,3.0 inches / 76 mm,3.5 inches / 88 mm,4 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,0 - 10 dGH,Mid,Peaceful,Semi aggressive,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Low,Low,Moderate,20 gallons / 75 liters
Brevis Shelldweller,Neolamprologus brevis,,African cichlids,Moderate,2.0 inches / 50 mm,2.4 inches / 60 mm,8 - 10 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:2,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Brilliant Rasbora,Rasbora einthovenii,,Rasboras,Easy,3.5 inches / 88 mm,3.5 inches / 88 mm,3 - 5 years,5.0 - 7.5,72 - 79 F / 22 - 26 C,2 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,20 gallons / 75 liters
Bristlenose Pleco,Ancistrus Cirrhosus,"Bushy Nose Plecostomus,  Albino Bristlenose Pleco,  Calico Bristlenose Pleco,  Starlight Bristlenose Pleco,  Super Red Bristlenose Pleco,  Longfin Bristlenose Pleco",Plecos,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,5 years,5.8 - 7.8,73 - 81 F / 23 - 27 C,2 - 30 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Herbivore,"Algae, veggies, wood",Any,Moderate,Moderate,High,20 gallons / 75 liters
Brown Julie,Julidochromis dickfeldi,,African cichlids,Moderate,3.2 inches / 81 mm,4.0 inches / 101 mm,5 years,8.0 - 9.2,73 - 81 F / 23 - 27 C,10 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Brown Pencilfish,Nannostomus eques,"Golden Pencilfish,  Hockeystick Pencilfish",Misc,Difficult,1.5 inches / 38 mm,2.0 inches / 50 mm,3 - 5 years,4.5 - 7.5,72 - 83 F / 22 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Low,Moderate,10 gallons / 37 liters
Blue Rainbowfish,Melanotaenia caerulea,,Rainbowfish,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,5 years,7.0 - 8.5,70 - 79 F / 21 - 26 C,9 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Blue Tetra,Boehlkea fredcochui,"Cochu’s Blue Tetra,  Blue King Tetra",Tetras,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 years,5.5 - 7.0,72 - 82 F / 22 - 28 C,4 - 18 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,20 gallons / 75 liters
Blue Tilapia,Oreochromis aureus,,Misc,Easy,18.0 inches / 457 mm,24.0 inches / 609 mm,5 - 10 years,6.0 - 8.0,60 - 86 F / 16 - 30 C,1 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Bluefin Notho Killifish,Nothobranchius rachovii Beira 98,,Killifish,Easy,2.0 inches / 50 mm,2.25 inches / 57 mm,1 - 2 years,6.0 - 7.5,68 - 75 F / 20 - 24 C,3 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Boesemans Rainbowfish,Melanotaenia boesemani,,Rainbowfish,Easy,4.0 inches / 101 mm,4.5 inches / 114 mm,5 years,7.0 - 8.0,81 - 86 F / 27 - 30 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Blue Acara,Aequidens pulcher,,American cichlids,Moderate,6.0 inches / 152 mm,8.0 inches / 203 mm,10 years,6.5 - 8.0,71 - 85 F / 22 - 29 C,5 - 25 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,High,55 gallons / 208 liters
Blue Back Blue Eye,Pseudomugil cyanodorsalis,Neon Blue Eye,Rainbowfish,Easy,1.4 inches / 35 mm,1.4 inches / 35 mm,3 years,7.0 - 8.5,70 - 88 F / 21 - 31 C,10 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Blue Botia,Yasuhikotakia modesta,Redtail Loach,Loaches,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,5 - 12 years,6.0 - 8.0,73 - 84 F / 23 - 29 C,2 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Blue Dolphin Cichlid,Cyrtocara moorii,"Blue Moorii Cichlid,  Malawi Blue Dolphin Cichlid",African cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,10 years,7.0 - 8.0,77 - 84 F / 25 - 29 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,4+,1:3,No,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Blue Gourami,Trichogaster trichopterus,"Golden Gourami,  Opaline Gourami,  Three Spot Gourami",Gouramis,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,4 - 6 years,5.5 - 8.5,75 - 86 F / 24 - 30 C,3 - 35 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Low,Moderate,29 gallons / 109 liters
Blue Pearl Shrimp,Neocaridina cf. zhangjiajiensis,Snowball Shrimp,Invertebrates,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,1 - 2 years,6.5 - 7.5,68 - 80 F / 20 - 27 C,3 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, shrimp, algae",Any,Moderate,Moderate,High,5 gallons / 18 liters
Black-Back Cory,Corydoras duplicareus,,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,4.0 - 7.0,68 - 79 F / 20 - 26 C,1 - 5 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Black-Banded Rainbowfish,Melanotaenia nigrans,,Rainbowfish,Easy,4.0 inches / 101 mm,4.3 inches / 109 mm,3 - 5 years,5.5 - 7.0,71 - 77 F / 22 - 25 C,4 - 13 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Blackline Rasbora,Rasbora borapetensis,Redtail Rasbora,Rasboras,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 - 8 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,2 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Bleeding Heart Tetra,Hyphessobrycon erythrostigma,,Tetras,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,5 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,4 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
